2025-07-13_13-18-22 | File: app.py | Level: INFO | Log: Launching app...
2025-07-13_13-18-22 | File: app.py | Level: INFO | Log: App launched successfully.
2025-07-13_13-18-22 | File: app.py | Level: INFO | Log: App running from server 0.0.0.0 on port 8000: http://0.0.0.0:8000
2025-07-13_13-18-22 | File: app.py | Level: INFO | Log: Awaiting requests...
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Endpoint called: GET /check
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Response status: 200
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Response payload: {'status': 'active'}
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Endpoint called: POST /inference
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Request payload: {'identifier': ['a12', 'b12', 'c12'], 'data': {'mean_radius': [12.34, 15.67, 10.11], 'mean_texture': [19.54, 17.33, 18.45], 'mean_perimeter': [78.12, 85.67, 70.22], 'mean_area': [523.45, 600.34, 490.12], 'mean_smoothness': [0.089, 0.112, 0.075], 'mean_compactness': [0.112, 0.145, 0.11], 'mean_concavity': [0.132, 0.134, 0.12], 'mean_concave_points': [0.067, 0.072, 0.06], 'mean_symmetry': [0.172, 0.16, 0.15], 'mean_fractal_dimension': [0.059, 0.045, 0.051]}}
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Passing payload to model...
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Capturing payload and model predictions...
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Returning predictions...
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Response status: 200
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Response payload: {'identifier': ['a12', 'b12', 'c12'], 'predictions': [0.45729461254943243, 0.98370740200327, 0.11991734966537686]}
2025-07-13_13-23-52 | File: app.py | Level: INFO | Log: Endpoint called: GET /check
2025-07-13_13-23-52 | File: app.py | Level: ERROR | Log: User 'BAD_USER' cannot be authenticated.
2025-07-13_13-23-52 | File: app.py | Level: ERROR | Log: Response status: 401
2025-07-13_13-24-52 | File: app.py | Level: INFO | Log: Shutting down app...
2025-07-13_13-24-52 | File: app.py | Level: INFO | Log: Closing DataCollectionClient...
2025-07-13_13-24-52 | File: app.py | Level: INFO | Log: DataCollectionClient closed successfully.
2025-07-13_13-24-52 | File: app.py | Level: INFO | Log: App shut down.
